"Applicant","Edu_Parent1","Edu_Parent2","Gender","White","Asian","HSGPA","SAT/ACT","College","College_GPA"
2896,6,7,"M",1,0,3.8,1340,"Arts & Letters",2.392
2907,6,6,"M",1,0,3.59,1210,"Business & Economics",2.905
2925,4,4,"F",1,0,3.41,1300,"Arts & Letters",2.917
2936,4,6,"F",1,0,3.6,1230,"Arts & Letters",2.683
2939,7,6,"F",1,0,4.2,1440,"Business & Economics",3.344
2955,6,6,"F",0,1,4.3,1110,"Math & Science",3.502
2956,7,7,"F",0,0,4.36,1450,"Arts & Letters",3.972
2965,4,6,"F",0,0,4.14,1420,"Math & Science",3.173
2967,6,6,"M",1,0,2.96,1230,"Math & Science",2.018
2968,6,6,"M",1,0,3.92,1210,"Business & Economics",2.766
2970,4,4,"F",1,0,3.41,1110,"Business & Economics",2.822
2976,7,5,"M",1,0,4.17,1360,"Math & Science",2.744
2994,4,3,"F",0,0,4.04,1210,"Math & Science",3.461
2996,7,6,"F",1,0,4.2,1400,"Math & Science",3.81
2997,4,4,"F",1,0,4.18,1150,"Math & Science",2.94
3001,6,4,"F",1,0,3.13,1010,"Arts & Letters",3.116
3019,3,6,"M",0,0,4,1280,"Business & Economics",2.864
3036,6,5,"F",1,0,3.54,1030,"Business & Economics",2.767
3038,6,4,"F",1,0,3.41,1250,"Arts & Letters",3.601
3046,3,7,"F",1,0,4.04,1250,"Math & Science",3.097
3062,7,7,"M",1,0,3.77,1400,"Business & Economics",2.461
3072,6,6,"F",1,0,4.12,1200,"Business & Economics",3.348
3073,5,6,"M",0,0,3.85,1020,"Business & Economics",2.637
3089,7,5,"F",1,0,3.86,1200,"Math & Science",2.782
3092,6,4,"F",1,0,3.81,1210,"Arts & Letters",3.215
3093,7,5,"M",1,0,3.75,1330,"Math & Science",2.994
3094,6,6,"M",1,0,3.65,1170,"Business & Economics",3.2
3098,6,7,"F",1,0,3.82,1320,"Arts & Letters",3.584
3100,6,6,"M",0,1,3.58,1320,"Math & Science",2.303
3115,6,7,"F",1,0,4.04,1350,"Arts & Letters",3.658
3133,6,4,"M",0,0,4,1350,"Business & Economics",3.597
3141,7,3,"F",0,1,3.64,1320,"Math & Science",2.493
3143,6,6,"F",1,0,3.88,1320,"Arts & Letters",3.57
3186,6,6,"M",1,0,4.2,1210,"Business & Economics",3.131
3197,6,4,"F",1,0,2.85,1110,"Arts & Letters",2.255
3199,7,4,"F",1,0,3.57,1130,"Arts & Letters",3.642
3226,6,5,"M",1,0,4.22,1450,"Business & Economics",3.785
3255,7,7,"F",0,1,3.83,1500,"Math & Science",3.292
3259,7,6,"M",0,1,3.77,1290,"Business & Economics",3.456
3260,7,7,"M",0,0,4.05,1440,"Business & Economics",3.274
3270,7,5,"M",1,0,4.09,1310,"Arts & Letters",4
3290,4,4,"F",1,0,4.35,1150,"Arts & Letters",3.242
3295,7,7,"M",0,0,4.23,1240,"Arts & Letters",3.673
3296,3,6,"F",0,1,3.7,1010,"Math & Science",3.257
3297,7,7,"M",1,0,4.1,1320,"Business & Economics",3.134
3303,6,6,"F",1,0,3.3,1070,"Arts & Letters",2.623
3318,2,2,"M",1,0,3.1,1100,"Business & Economics",1.543
3341,7,7,"F",1,0,4.21,1180,"Arts & Letters",3.306
3369,7,7,"F",1,0,4,1170,"Math & Science",3.113
3373,4,4,"M",0,1,3.83,1260,"Math & Science",2.284
3385,4,6,"F",1,0,3.73,1180,"Arts & Letters",3.236
3395,7,7,"F",1,0,3.92,1230,"Arts & Letters",3.372
3417,4,4,"F",1,0,3.48,1310,"Arts & Letters",3.505
3425,5,7,"M",1,0,3.68,1250,"Business & Economics",3.245
3427,7,6,"F",1,0,3.42,1190,"Arts & Letters",2.698
3438,1,1,"M",0,0,3.52,1140,"Math & Science",3.271
3463,6,6,"F",1,0,3.92,1460,"Business & Economics",2.936
3484,6,6,"F",1,0,4.2,1210,"Business & Economics",3.451
3489,7,7,"F",1,0,4.33,1570,"Math & Science",4
3490,6,4,"F",1,0,3.55,1230,"Business & Economics",2.479
3493,3,7,"M",1,0,3.55,1430,"Business & Economics",3.269
3497,4,4,"M",0,0,3.68,1190,"Math & Science",2.565
3498,6,4,"F",1,0,3.29,1040,"Arts & Letters",2.467
3503,2,1,"F",1,0,3.5,1080,"Math & Science",2.853
3506,7,7,"F",1,0,4.15,1340,"Business & Economics",3.377
3518,7,6,"M",1,0,3.71,1270,"Business & Economics",3.09
3521,6,7,"F",1,0,3.21,1310,"Arts & Letters",2.413
3537,7,6,"M",0,0,4,1340,"Business & Economics",3.21
3540,7,6,"F",0,0,4.05,1190,"Business & Economics",3.443
3541,5,2,"F",1,0,3.69,1120,"Math & Science",3.298
3546,4,3,"M",1,0,3.5,1430,"Math & Science",3.188
3565,7,6,"F",1,0,3.65,1160,"Math & Science",2.925
3584,4,6,"F",1,0,4.14,1220,"Arts & Letters",3.417
3594,7,7,"F",1,0,3.97,1270,"Math & Science",3.389
3598,4,4,"M",0,1,4.09,1370,"Business & Economics",2.604
3638,7,6,"F",1,0,3.64,1240,"Arts & Letters",3.421
3659,6,6,"F",1,0,3.08,1270,"Business & Economics",2.571
3688,6,6,"M",1,0,3.45,1180,"Business & Economics",2.66
3690,6,7,"F",0,0,4.14,1380,"Math & Science",2.957
3693,6,7,"F",1,0,3.62,1220,"Math & Science",2.628
3697,6,6,"M",1,0,3.83,1360,"Business & Economics",3.367
3711,5,5,"M",1,0,4.12,1130,"Math & Science",2.806
3715,6,6,"F",1,0,4.27,1250,"Business & Economics",3.107
3716,2,7,"F",1,0,3.18,1110,"Arts & Letters",2.838
3729,6,7,"M",0,1,3.78,1420,"Math & Science",3.047
3748,4,4,"F",0,0,4.04,1230,"Business & Economics",2.949
3753,6,3,"M",1,0,3.91,1370,"Math & Science",2.767
3758,6,6,"F",1,0,3.91,1230,"Math & Science",3.573
3764,3,3,"M",1,0,4.08,1110,"Business & Economics",3.081
3781,7,7,"M",1,0,3.28,1440,"Math & Science",2.899
3819,7,7,"F",1,0,3.54,1380,"Business & Economics",3.534
3825,4,3,"F",1,0,4.04,1180,"Arts & Letters",3.252
3836,6,6,"F",1,0,3.78,1230,"Arts & Letters",3.161
3864,7,5,"M",1,0,3.14,1260,"Business & Economics",2.197
3873,6,4,"M",1,0,4.27,1230,"Business & Economics",3.818
3876,7,6,"M",1,0,3.7,1340,"Arts & Letters",3.176
3886,6,6,"F",1,0,4.12,1400,"Business & Economics",3.922
3900,6,6,"F",1,0,3.94,1270,"Math & Science",2.739
3901,6,6,"F",1,0,4,1210,"Business & Economics",3.758
3906,5,5,"F",1,0,3.65,1150,"Arts & Letters",2.644
3944,7,6,"F",1,0,3.9,1340,"Arts & Letters",3.717
3967,1,3,"F",0,0,3.28,1100,"Arts & Letters",1.92
3971,4,7,"M",1,0,4.08,1270,"Math & Science",3.786
3979,2,6,"F",0,0,4.05,1300,"Math & Science",2.775
3987,3,5,"M",1,0,4.12,1220,"Math & Science",2.647
4001,5,4,"M",1,0,4.19,1310,"Math & Science",2.349
4013,6,6,"F",1,0,4.17,1280,"Arts & Letters",3.851
4029,7,7,"F",0,0,3.5,1280,"Arts & Letters",2.402
4030,5,5,"M",1,0,4,1120,"Business & Economics",2.374
4041,3,6,"F",1,0,3.42,1130,"Arts & Letters",3.145
4049,3,7,"M",1,0,3.9,1350,"Business & Economics",3.246
4056,6,7,"F",1,0,3.89,1120,"Arts & Letters",3.584
4060,6,5,"M",1,0,3.27,1220,"Arts & Letters",2.853
4070,7,7,"F",1,0,3.59,1270,"Arts & Letters",3.331
4082,7,6,"M",1,0,3.77,1290,"Business & Economics",3.124
4103,7,6,"F",0,0,3.57,1340,"Business & Economics",3.052
4104,6,3,"M",1,0,4.17,1240,"Business & Economics",3.344
4142,6,6,"M",0,0,4.12,1350,"Math & Science",3.284
4192,6,5,"F",1,0,3.68,1120,"Arts & Letters",3.221
4216,5,4,"M",0,0,4.08,1270,"Math & Science",3.26
4247,4,4,"F",1,0,4.14,1290,"Arts & Letters",3.763
4263,7,7,"F",1,0,3.95,1460,"Business & Economics",3.522
4286,4,4,"M",1,0,3.73,1380,"Math & Science",1.844
4341,6,5,"F",1,0,3.85,1260,"Arts & Letters",3.62
4360,4,5,"F",1,0,4.05,1270,"Math & Science",2.725
4362,6,5,"F",1,0,4.1,1290,"Arts & Letters",3.814
4373,7,7,"M",1,0,3.83,1200,"Business & Economics",3.649
4385,5,6,"F",1,0,4.15,1150,"Arts & Letters",2.71
4387,7,7,"F",1,0,4.18,1330,"Math & Science",3.198
4399,7,6,"F",1,0,4.36,1230,"Arts & Letters",3.584
4401,5,4,"F",0,0,3.71,1280,"Arts & Letters",2.711
4418,4,4,"F",1,0,3.86,1230,"Arts & Letters",3.669
4429,3,5,"F",0,1,3.79,1510,"Math & Science",3.025
4433,4,6,"F",1,0,4.05,1510,"Math & Science",3.818
4441,4,4,"F",1,0,3.73,1140,"Business & Economics",2.802
4444,1,3,"M",0,0,3.65,910,"Arts & Letters",2.643
4448,6,6,"M",1,0,3.55,1170,"Business & Economics",2.737
4450,4,4,"F",1,0,4.18,1140,"Business & Economics",2.875
4452,6,6,"F",1,0,4,1250,"Arts & Letters",3.587
4455,6,6,"M",1,0,4.18,1450,"Business & Economics",3.174
4464,6,6,"M",0,1,3.86,1320,"Business & Economics",2.843
4465,4,4,"M",1,0,2.89,1080,"Business & Economics",1.684
4468,5,6,"F",0,1,4.25,1310,"Math & Science",3.18
4474,7,7,"F",1,0,3.64,1490,"Business & Economics",2.725
4481,4,6,"F",1,0,3.48,1140,"Arts & Letters",2.716
4514,6,3,"F",1,0,4.18,1130,"Business & Economics",3.189
4517,7,6,"F",0,0,3.75,1210,"Business & Economics",3.512
4524,6,4,"M",1,0,3.75,1290,"Business & Economics",3.202
4549,6,6,"F",1,0,4.2,1350,"Arts & Letters",3.301
4559,5,5,"F",1,0,3.9,1400,"Business & Economics",3.487
4568,6,6,"F",0,0,3.81,1260,"Business & Economics",2.884
4579,6,6,"F",1,0,4.15,1270,"Arts & Letters",3.676
4580,6,6,"M",1,0,3.72,1460,"Math & Science",2.535
4586,7,7,"M",1,0,4.07,1300,"Math & Science",3.479
4587,4,6,"M",1,0,3.62,1160,"Math & Science",2.282
4599,6,6,"F",1,0,3.89,880,"Arts & Letters",3.349
4611,7,6,"F",1,0,3.82,1150,"Math & Science",2.58
4630,6,5,"F",1,0,4.29,1210,"Business & Economics",3.228
4640,7,7,"M",0,1,3.59,1240,"Arts & Letters",3.161
4658,7,7,"F",0,0,3.75,1120,"Arts & Letters",3.057
4664,7,7,"M",1,0,3.65,1400,"Business & Economics",3.074
4681,6,6,"M",1,0,3.5,1400,"Business & Economics",2.989
4685,6,6,"F",0,0,3.5,1190,"Math & Science",1.657
4711,6,6,"M",1,0,4.1,1230,"Business & Economics",2.287
4737,6,7,"M",1,0,3.45,1200,"Business & Economics",2.934
4760,6,7,"F",0,0,4.03,1490,"Arts & Letters",3.164
4765,2,2,"F",0,1,3.19,940,"Business & Economics",0.967
4788,3,3,"F",1,0,3.45,1170,"Arts & Letters",2.921
4796,6,6,"F",1,0,3.95,1130,"Arts & Letters",2.586
4813,7,6,"M",1,0,3.82,1240,"Math & Science",3.377
4828,6,3,"F",0,0,3.77,1120,"Math & Science",3.081
4832,6,6,"F",1,0,3.87,1310,"Arts & Letters",3.12
4844,6,6,"F",1,0,3.82,1340,"Business & Economics",3.583
4845,7,4,"M",1,0,3.86,1140,"Business & Economics",2.897
4856,6,6,"M",1,0,4,1210,"Arts & Letters",2.965
4876,6,6,"F",1,0,3.57,1160,"Business & Economics",3.013
4890,4,5,"M",0,0,3.95,1130,"Business & Economics",3.033
4894,7,2,"M",0,0,3.75,1190,"Math & Science",2.698
4912,4,6,"F",0,0,3.68,1130,"Arts & Letters",3.325
4913,7,4,"M",1,0,4.09,1410,"Arts & Letters",3.854
4941,7,7,"M",0,0,3.3,1220,"Arts & Letters",3.087
4949,3,3,"M",0,0,3.33,1050,"Business & Economics",2.773
4953,6,6,"F",0,0,3.85,1080,"Arts & Letters",3.068
4989,6,6,"F",1,0,3.9,1320,"Business & Economics",3.392
5036,7,7,"F",1,0,3.41,1260,"Arts & Letters",3.523
5046,4,5,"F",1,0,3.73,1340,"Math & Science",3.603
5047,7,6,"F",1,0,3.8,1270,"Business & Economics",3.532
5085,4,4,"M",1,0,3.55,1280,"Business & Economics",3.296
5105,7,7,"F",1,0,3.62,1420,"Business & Economics",3.122
5108,6,4,"F",1,0,4.32,1290,"Arts & Letters",3.28
5110,7,6,"M",1,0,3.64,1370,"Business & Economics",2.625
5123,4,7,"F",1,0,4.08,1270,"Arts & Letters",3.912
5126,5,4,"F",1,0,4,1320,"Business & Economics",3.513
5155,6,7,"F",1,0,3.29,1060,"Math & Science",2.453
5156,6,6,"M",0,1,3.68,1240,"Arts & Letters",3.248
5159,7,7,"F",1,0,4.17,1230,"Math & Science",3.993
5161,7,6,"F",0,1,3.68,1390,"Business & Economics",2.821
5173,7,7,"F",0,1,4,1400,"Business & Economics",3.097
5174,7,7,"M",1,0,3.5,1430,"Math & Science",3.309
5179,6,5,"F",1,0,3.68,1110,"Arts & Letters",3.204
5183,7,4,"F",1,0,4.05,1180,"Math & Science",3.53
5184,4,6,"M",0,0,3.45,1170,"Math & Science",2.466
5190,6,4,"F",1,0,3.96,1280,"Arts & Letters",3.674
5196,6,6,"F",0,1,3.79,1320,"Business & Economics",2.517
5210,3,7,"F",1,0,3.91,1230,"Math & Science",3.028
5217,6,7,"F",1,0,4.32,1570,"Math & Science",3.243
5220,7,4,"F",0,0,4.23,1420,"Arts & Letters",3.812
5222,6,6,"M",1,0,3.83,1490,"Business & Economics",2.91
5230,7,7,"F",1,0,3.68,1190,"Arts & Letters",3.764
5232,7,7,"M",1,0,3.48,1380,"Business & Economics",3.251
5240,6,6,"F",1,0,3.25,1190,"Arts & Letters",2.74
5246,6,6,"F",1,0,3.76,1270,"Business & Economics",3.11
5247,6,6,"F",0,0,3.58,1180,"Arts & Letters",3.466
5250,7,4,"F",1,0,3.57,1440,"Arts & Letters",2.43
5260,7,6,"F",1,0,4,1270,"Business & Economics",3.444
5264,6,4,"F",0,1,3.14,1250,"Arts & Letters",2.584
5274,6,6,"F",1,0,4.05,1010,"Math & Science",3.658
5275,6,6,"M",1,0,4,1240,"Arts & Letters",3.949
5277,7,6,"F",1,0,3.77,1310,"Business & Economics",3.305
5281,6,7,"F",1,0,3.95,1250,"Business & Economics",3.446
5282,6,6,"M",0,1,3.5,1360,"Business & Economics",3.229
5284,4,6,"F",1,0,4.08,1420,"Business & Economics",3.522
5287,6,6,"M",1,0,4.09,1490,"Business & Economics",3.943
5291,7,6,"M",0,0,4.32,1150,"Math & Science",3.075
5293,5,6,"F",0,1,4.04,1210,"Arts & Letters",3.52
5296,7,7,"M",1,0,4.18,1530,"Math & Science",2.731
5298,3,3,"M",0,0,4.27,1370,"Business & Economics",3.788
5315,4,6,"F",0,0,3.73,1290,"Business & Economics",2.395
5323,7,6,"F",1,0,4.05,1400,"Arts & Letters",3.777
5329,6,7,"M",1,0,3.17,1110,"Math & Science",2.618
5334,7,6,"M",1,0,3.92,1190,"Business & Economics",3.589
5335,7,7,"M",1,0,3.23,1080,"Business & Economics",2.641
5338,7,3,"M",0,1,4.18,1150,"Math & Science",3.056
5371,7,6,"F",1,0,3.36,1140,"Business & Economics",3.042
5393,3,3,"F",1,0,4.12,1250,"Arts & Letters",3.302
5412,2,2,"F",1,0,4.03,1260,"Business & Economics",3.713
5445,7,6,"M",0,1,3.29,1250,"Arts & Letters",2.465
5451,3,4,"F",0,0,4.23,1270,"Arts & Letters",3.605
5476,1,1,"F",0,1,3.68,970,"Business & Economics",3.212
5503,6,7,"M",1,0,3.4,1200,"Business & Economics",2.702
5517,2,4,"M",0,1,3.55,960,"Arts & Letters",1.122
5536,6,5,"F",1,0,4.18,1410,"Arts & Letters",3.786
5543,1,1,"F",0,0,3.73,980,"Arts & Letters",2.646
5545,7,6,"F",0,0,4.12,1380,"Math & Science",3.803
5565,2,3,"F",0,0,3.2,1250,"Arts & Letters",3.35
5567,6,6,"F",1,0,4.2,1280,"Math & Science",3.236
5577,3,3,"M",1,0,3.82,1250,"Business & Economics",2.86
5584,3,7,"F",1,0,3.57,1140,"Arts & Letters",3.482
5588,6,6,"F",0,0,4.22,1140,"Math & Science",2.839
5592,6,7,"M",0,0,3.64,1130,"Math & Science",3.176
5593,7,4,"F",1,0,3.59,1250,"Arts & Letters",2.649
5597,4,4,"F",1,0,3.78,1260,"Arts & Letters",2.495
5602,6,6,"F",0,1,3.54,1160,"Business & Economics",3.53
5613,1,1,"F",0,0,4.3,950,"Business & Economics",2.851
5623,6,6,"F",1,0,3.08,1290,"Arts & Letters",2.646
5637,7,6,"M",1,0,4.09,1440,"Math & Science",3.829
5640,7,5,"M",0,1,4.15,1340,"Math & Science",2.932
5642,6,4,"M",1,0,3.68,1210,"Business & Economics",3.443
5646,4,4,"M",0,1,3.32,1090,"Business & Economics",1.915
5705,6,6,"M",1,0,3.4,1210,"Business & Economics",2.972
5712,6,7,"M",1,0,3.45,1400,"Business & Economics",1.323
5713,7,4,"M",1,0,4.25,1160,"Math & Science",3.005
5733,5,4,"F",1,0,4.17,1160,"Math & Science",3.249
5742,6,3,"F",0,0,2.95,1020,"Business & Economics",2.608
5744,5,5,"F",1,0,4.04,1210,"Math & Science",3.723
5753,7,6,"F",1,0,3.82,1240,"Math & Science",3.437
5754,6,6,"F",1,0,3.38,1320,"Business & Economics",3.313
5760,1,1,"F",0,1,3.55,1130,"Math & Science",2.248
5763,5,6,"F",0,1,3.83,920,"Arts & Letters",2.443
5779,7,6,"F",1,0,3.95,1290,"Business & Economics",3.213
5782,7,2,"M",0,0,3.64,1090,"Math & Science",2.749
5784,7,7,"M",1,0,3.67,1240,"Arts & Letters",3.49
5787,6,6,"F",1,0,4.08,1450,"Arts & Letters",3.474
5797,7,7,"M",1,0,3.58,1540,"Math & Science",3.14
5828,6,6,"M",0,1,3.19,1220,"Arts & Letters",2.619
5844,6,6,"M",1,0,3.96,1240,"Arts & Letters",3.013
5851,4,4,"F",1,0,4.05,1240,"Math & Science",3.739
5857,7,6,"M",1,0,3.77,1120,"Arts & Letters",3.376
5865,6,6,"F",1,0,4,1320,"Arts & Letters",3.477
5872,6,6,"F",1,0,4.09,1270,"Math & Science",3.526
5880,7,6,"M",0,1,3.58,1210,"Arts & Letters",3.319
5884,4,7,"F",1,0,4.17,1290,"Math & Science",2.933
5917,6,6,"M",1,0,4.05,1220,"Business & Economics",2.998
5920,3,6,"M",1,0,3.68,1230,"Business & Economics",2.813
5926,3,6,"F",1,0,3.62,1420,"Math & Science",3.154
5937,4,7,"F",1,0,4.3,1400,"Math & Science",4
5941,4,5,"F",0,0,3.87,1290,"Business & Economics",2.962
5942,6,6,"F",1,0,3.59,1300,"Business & Economics",3.111
5943,5,7,"F",0,0,4.09,1190,"Arts & Letters",3.281
5952,6,6,"M",1,0,3.6,1320,"Business & Economics",3.041
5965,7,7,"F",1,0,4.27,1230,"Arts & Letters",3.923
5969,6,5,"F",1,0,4.14,1130,"Arts & Letters",3.369
5973,7,6,"F",1,0,4,1170,"Arts & Letters",3.217
5974,6,7,"M",1,0,4.3,1300,"Math & Science",2.577
5981,6,3,"M",1,0,3.95,1250,"Business & Economics",3.446
5986,4,4,"F",1,0,4.09,1230,"Math & Science",3.18
5998,7,7,"F",1,0,3.5,1250,"Arts & Letters",2.935
6000,7,6,"F",1,0,4.1,1400,"Arts & Letters",3.841
6017,6,6,"F",1,0,3.83,1340,"Arts & Letters",3.346
6036,5,7,"M",0,1,3.75,1090,"Math & Science",3.043
6037,7,7,"M",0,0,3.48,1550,"Math & Science",3.092
6046,7,6,"F",0,1,4.08,1410,"Business & Economics",3.659
6062,6,6,"M",1,0,3.05,1290,"Business & Economics",2.074
6070,6,6,"F",1,0,4.36,1190,"Math & Science",3.666
6071,5,7,"F",1,0,4.17,1330,"Arts & Letters",3.122
6074,7,4,"F",1,0,3.52,1390,"Math & Science",3.39
6094,7,6,"F",1,0,3.62,1130,"Math & Science",2.605
6105,4,4,"F",1,0,3.96,1410,"Arts & Letters",2.823
6108,6,7,"M",0,0,3.9,1250,"Math & Science",2.849
6119,7,7,"F",1,0,3.91,1290,"Arts & Letters",3.343
6142,6,6,"M",0,0,3.57,1000,"Arts & Letters",2.9
6143,6,3,"F",1,0,3.9,1220,"Arts & Letters",3.618
6198,6,7,"M",1,0,3.31,1210,"Arts & Letters",3.028
6208,6,6,"F",0,0,3.5,1100,"Math & Science",3.012
6212,6,2,"M",0,0,3.55,1010,"Math & Science",2.206
6214,4,6,"F",1,0,3.75,1070,"Arts & Letters",3.018
6227,6,6,"F",1,0,3.71,1260,"Arts & Letters",2.998
6231,6,6,"F",1,0,4.06,1250,"Business & Economics",3.215
6234,6,6,"M",0,0,3.75,1290,"Arts & Letters",2.743
6238,6,5,"F",1,0,3.5,1250,"Math & Science",3.534
6244,6,6,"M",1,0,3.68,1270,"Arts & Letters",3.502
6254,6,4,"F",0,0,3.86,1330,"Math & Science",2.811
6262,2,2,"F",0,1,3.46,1110,"Business & Economics",3.055
6277,4,6,"M",1,0,3.29,1200,"Arts & Letters",2.755
6293,5,6,"F",0,0,4.1,1190,"Business & Economics",3.144
6317,7,7,"F",1,0,3.96,1100,"Arts & Letters",3.548
6318,7,7,"F",1,0,3.82,1260,"Business & Economics",2.524
6328,4,3,"M",0,0,4,1150,"Business & Economics",3.698
6336,4,5,"F",0,1,4.18,1270,"Math & Science",3.236
6358,6,7,"M",1,0,3.59,1290,"Math & Science",2.373
6369,6,5,"M",1,0,3.5,1330,"Arts & Letters",3.421
6396,7,6,"F",1,0,3.65,1290,"Arts & Letters",3.107
6399,7,6,"F",1,0,4,1240,"Math & Science",3.917
6400,6,6,"F",1,0,3.9,1050,"Math & Science",2.95
6430,6,6,"F",1,0,4.22,1320,"Arts & Letters",3.788
6431,6,6,"F",0,1,3.43,1450,"Business & Economics",3.64
6433,3,4,"F",0,0,3.58,1240,"Arts & Letters",3.181
6436,6,7,"M",1,0,4.04,1330,"Arts & Letters",3.501
6458,6,4,"F",1,0,4.17,1250,"Math & Science",2.765
6487,7,5,"M",1,0,3.54,1420,"Business & Economics",2.778
6488,6,7,"F",1,0,3.77,1220,"Arts & Letters",3.246
6493,7,7,"F",1,0,3.49,1390,"Math & Science",2.871
6503,7,7,"F",0,1,3.86,1330,"Math & Science",3.107
6526,3,5,"M",1,0,3.74,1040,"Business & Economics",2.739
6529,7,6,"M",0,1,3.82,1230,"Math & Science",2.64
6533,7,7,"F",1,0,4.2,1330,"Math & Science",3.434
6550,6,6,"M",1,0,3.86,1210,"Business & Economics",2.575
6558,6,6,"M",1,0,3.41,990,"Business & Economics",2.851
6565,6,4,"F",0,1,3.05,1090,"Arts & Letters",2.575
6567,1,3,"F",0,1,4.09,1040,"Math & Science",2.36
6570,6,6,"F",1,0,4.17,1210,"Arts & Letters",3.238
6573,6,6,"M",0,0,3.75,1100,"Arts & Letters",3.423
6578,7,7,"M",1,0,3.69,1310,"Math & Science",2.993
6583,7,6,"F",1,0,3.88,1280,"Business & Economics",3.457
6589,7,6,"F",1,0,3.91,1190,"Arts & Letters",3.353
6593,6,6,"F",1,0,3.46,1140,"Arts & Letters",2.975
6605,2,2,"F",0,1,3.27,1190,"Math & Science",2.125
6615,7,7,"F",1,0,3.41,1250,"Arts & Letters",3.411
6616,3,6,"F",0,0,4.05,1200,"Math & Science",3.116
6625,6,5,"F",1,0,4.23,1240,"Arts & Letters",3.266
6634,4,3,"M",1,0,4.12,1240,"Business & Economics",3.422
6643,7,6,"M",1,0,3.83,1200,"Math & Science",1.788
6644,7,7,"M",1,0,3.85,1270,"Business & Economics",3.176
6646,6,6,"F",1,0,4.36,1210,"Math & Science",3.684
6648,3,3,"M",0,1,3.75,1240,"Math & Science",2.821
6651,7,6,"F",1,0,3.65,1350,"Arts & Letters",2.193
6662,4,6,"F",0,0,4,1190,"Arts & Letters",3.099
6665,2,7,"M",0,1,3.04,1230,"Math & Science",3.133
6672,6,6,"M",1,0,3.86,1340,"Math & Science",3.29
6678,6,6,"F",1,0,3.91,1200,"Math & Science",3.537
6687,6,3,"M",1,0,4.25,1260,"Business & Economics",3.487
6688,6,5,"F",0,0,4,1350,"Arts & Letters",3.434
6689,7,7,"M",1,0,4.05,1340,"Math & Science",2.732
6691,6,6,"F",1,0,3.73,1220,"Math & Science",3.359
6696,6,6,"F",1,0,4,1150,"Business & Economics",3.186
6697,6,6,"M",1,0,3.59,1310,"Business & Economics",3.661
6709,5,7,"M",1,0,3.86,1440,"Math & Science",3.34
6716,6,6,"M",1,0,4.18,1180,"Math & Science",2.364
6730,5,3,"F",1,0,3.65,1230,"Arts & Letters",3.203
6740,5,4,"F",0,0,3.5,1240,"Business & Economics",3.034
6742,6,6,"F",0,0,3.45,1040,"Arts & Letters",1.744
6746,6,4,"F",1,0,3.89,1320,"Business & Economics",3.232
6749,6,6,"M",1,0,3.8,1180,"Business & Economics",3.22
6767,4,6,"F",0,0,3.73,1360,"Arts & Letters",3.45
6769,7,6,"M",1,0,3.25,1210,"Math & Science",2.599
6772,7,7,"M",1,0,3.37,1360,"Arts & Letters",2.166
6784,6,7,"F",1,0,3.95,1170,"Arts & Letters",3.523
6798,4,4,"F",0,1,3.24,1340,"Arts & Letters",2.499
6799,5,6,"M",0,1,3.46,1080,"Arts & Letters",1.856
6803,7,7,"F",1,0,4.22,1140,"Math & Science",3.738
6808,5,5,"F",1,0,3.85,1390,"Business & Economics",3.191
6813,7,6,"F",1,0,4.09,1290,"Math & Science",3.93
6824,6,7,"F",0,0,3.14,920,"Math & Science",2.652
6825,7,6,"F",1,0,3.77,1110,"Arts & Letters",3.217
6830,7,4,"F",0,0,3.79,1140,"Arts & Letters",3.195
6842,4,4,"M",1,0,3.68,1360,"Business & Economics",3.079
6861,6,6,"F",0,1,4.27,1460,"Math & Science",3.904
6882,7,7,"M",1,0,3.63,1290,"Math & Science",3.433
6886,6,6,"M",1,0,3.79,1240,"Arts & Letters",3.441
6889,6,4,"F",0,1,3.32,1180,"Arts & Letters",2.992
6892,2,7,"F",1,0,4.17,1320,"Math & Science",3.397
6942,6,6,"F",1,0,3.68,1150,"Arts & Letters",3.233
6943,6,4,"F",1,0,3.84,1180,"Arts & Letters",3.604
6947,2,6,"F",1,0,4.27,1280,"Math & Science",3.355
6958,6,6,"F",1,0,4.17,1220,"Arts & Letters",3.242
6970,5,6,"M",1,0,3.44,950,"Business & Economics",2.05
6972,7,7,"M",1,0,3.65,1310,"Business & Economics",3.17
6996,3,6,"F",1,0,4.36,1360,"Math & Science",3.292
6998,5,7,"M",1,0,3.83,1430,"Math & Science",2.717
7007,7,6,"M",1,0,3.37,1370,"Business & Economics",3.065
7019,4,4,"F",0,1,3.5,1210,"Math & Science",2.838
7033,7,7,"F",1,0,3.88,1280,"Math & Science",3.372
7040,7,7,"M",0,1,3.53,1180,"Business & Economics",2.355
7057,7,6,"M",0,0,3.39,1360,"Arts & Letters",3.434
7061,6,6,"F",1,0,4.05,1220,"Arts & Letters",3.554
7065,4,6,"F",1,0,4.26,1210,"Math & Science",3.464
7067,6,6,"F",1,0,4.05,1280,"Arts & Letters",3.338
7084,7,6,"F",1,0,4.05,1190,"Math & Science",2.013
7099,6,7,"M",1,0,3.5,1310,"Arts & Letters",3.065
7106,6,6,"F",1,0,4.08,1300,"Business & Economics",3.564
7113,3,3,"F",0,0,4.08,1140,"Math & Science",2.966
7116,6,6,"M",1,0,4.27,1380,"Math & Science",3.084
7122,6,6,"F",1,0,3.94,1090,"Math & Science",1.564
