"Applicant","Edu_Parent1","Edu_Parent2","Gender","White","Asian","HSGPA","SAT/ACT","College","College_GPA"
565,6,4,"F",1,0,4.35,1210,"Math & Science",3.83
567,5,6,"F",0,0,3.95,1110,"Arts & Letters",3.036
573,3,3,"F",0,0,3.83,1440,"Business & Economics",3.823
576,7,5,"M",1,0,2.86,920,"Math & Science",2.722
577,3,7,"F",1,0,4,1320,"Business & Economics",3.028
581,7,7,"M",1,0,3.95,1270,"Business & Economics",3.066
582,4,5,"M",1,0,3.84,1440,"Math & Science",3.306
584,7,7,"M",1,0,3.64,1230,"Arts & Letters",3.347
588,7,6,"M",1,0,4.21,1190,"Math & Science",3.704
597,4,4,"M",1,0,3.94,1150,"Arts & Letters",2.865
598,6,7,"M",1,0,3.6,1370,"Business & Economics",3.132
599,6,6,"F",1,0,3.95,1250,"Business & Economics",3.136
600,6,7,"F",1,0,4.15,1370,"Arts & Letters",2.504
604,5,5,"F",1,0,3.85,1500,"Math & Science",2.704
608,6,6,"M",0,0,3.29,1280,"Math & Science",2.979
611,6,4,"F",1,0,3.77,1210,"Arts & Letters",2.97
613,7,7,"F",1,0,3.73,1300,"Math & Science",2.818
617,6,7,"F",1,0,4.12,1290,"Math & Science",2.929
622,7,6,"F",1,0,4.17,1170,"Math & Science",3.302
626,2,2,"M",0,0,4,950,"Arts & Letters",3.381
629,7,7,"F",1,0,4.33,1290,"Math & Science",3.47
631,4,7,"M",1,0,4.05,1100,"Business & Economics",3.078
636,4,7,"M",1,0,4.05,1410,"Business & Economics",3.325
639,4,6,"F",0,0,3.64,1070,"Math & Science",3.336
641,7,4,"M",1,0,3.77,1370,"Math & Science",2.787
645,4,4,"F",1,0,3.75,1190,"Math & Science",3.028
648,6,6,"M",1,0,4.27,1540,"Business & Economics",3.764
651,7,6,"F",1,0,3.58,1270,"Arts & Letters",3.219
654,6,6,"M",1,0,3.62,1280,"Arts & Letters",3.362
688,2,5,"F",0,0,4.07,1230,"Math & Science",3.078
701,7,7,"F",1,0,3.75,910,"Math & Science",2.876
707,6,6,"F",1,0,3.86,980,"Arts & Letters",3.026
710,5,4,"F",0,0,3.36,1280,"Math & Science",1.981
715,6,5,"M",1,0,3.9,1200,"Business & Economics",3.575
724,7,6,"F",1,0,3.64,1310,"Math & Science",2.292
732,6,6,"F",1,0,3.95,1120,"Math & Science",3.013
735,7,6,"F",1,0,3.45,1250,"Business & Economics",2.876
745,5,7,"M",1,0,3.6,1390,"Arts & Letters",3.817
757,6,6,"F",1,0,3.55,1430,"Arts & Letters",3.73
761,7,7,"M",1,0,2.82,1380,"Arts & Letters",2.719
772,2,2,"F",0,1,3.41,1260,"Math & Science",3.276
775,7,7,"F",0,1,4.04,1300,"Business & Economics",2.966
782,7,7,"F",1,0,3.96,1160,"Math & Science",3.146
784,6,6,"F",1,0,4.17,1430,"Arts & Letters",3.932
792,7,7,"F",1,0,4.27,1290,"Business & Economics",3.937
794,6,6,"M",1,0,3.5,1240,"Arts & Letters",3.331
800,2,4,"F",1,0,3.96,1170,"Math & Science",2.938
809,6,7,"M",1,0,3.55,1410,"Business & Economics",2.975
810,7,6,"F",1,0,4,1130,"Math & Science",3.249
823,5,3,"F",1,0,4.17,1080,"Arts & Letters",3.478
837,3,3,"F",1,0,4.2,1150,"Business & Economics",3.373
841,4,4,"F",1,0,2.75,1000,"Business & Economics",2.595
847,6,6,"M",1,0,3.75,1300,"Business & Economics",2.98
853,3,3,"F",1,0,4.18,1490,"Arts & Letters",3.04
854,7,6,"F",1,0,4.05,1200,"Math & Science",3.069
862,6,5,"M",1,0,4.24,1270,"Math & Science",3.748
874,7,6,"M",1,0,3.91,1280,"Business & Economics",3.264
886,6,7,"F",1,0,3.82,1230,"Arts & Letters",3.113
896,6,7,"M",1,0,4,1320,"Arts & Letters",2.881
897,4,4,"F",1,0,3.92,1560,"Business & Economics",3.92
904,6,6,"M",1,0,3.9,1230,"Math & Science",3.547
907,6,5,"M",1,0,3.36,1300,"Arts & Letters",2.886
908,6,6,"F",1,0,4.17,1310,"Business & Economics",3.537
910,7,7,"M",1,0,3.84,1240,"Business & Economics",2.825
912,6,6,"F",1,0,3.52,1130,"Arts & Letters",3.511
916,3,3,"M",1,0,4.05,1480,"Math & Science",2.674
920,4,6,"F",1,0,4.12,1400,"Arts & Letters",3.298
922,6,6,"M",1,0,4,1220,"Arts & Letters",3.618
925,5,5,"M",0,0,3.95,1110,"Business & Economics",3.046
927,6,7,"F",1,0,3.88,1190,"Arts & Letters",3.479
928,6,6,"F",1,0,3.92,1170,"Math & Science",2.862
948,6,5,"M",1,0,3.9,1330,"Business & Economics",3.576
960,6,6,"F",1,0,3.86,1170,"Arts & Letters",3.664
968,6,7,"F",1,0,4.13,1300,"Math & Science",3.483
985,5,6,"M",1,0,4.11,1430,"Business & Economics",3.643
1001,7,6,"M",1,0,4.09,1390,"Math & Science",3.244
1013,6,6,"M",1,0,3.2,1150,"Business & Economics",2.451
1019,5,6,"F",1,0,3.81,1340,"Math & Science",2.884
1023,6,5,"F",1,0,3.73,1210,"Business & Economics",2.701
1026,6,5,"F",0,0,4.15,980,"Arts & Letters",2.851
1038,7,7,"M",1,0,4.04,1390,"Math & Science",3.392
1046,6,7,"F",1,0,3.79,1230,"Math & Science",3.521
1051,3,6,"F",1,0,4.04,1380,"Arts & Letters",3.812
1061,6,7,"F",1,0,3.38,1110,"Arts & Letters",3.193
1068,6,5,"F",1,0,4.19,1390,"Business & Economics",3.391
1071,7,7,"F",1,0,3.9,1190,"Arts & Letters",3.288
1080,3,6,"M",1,0,4.12,1430,"Business & Economics",3.477
1082,6,4,"F",1,0,4.19,1270,"Arts & Letters",3.86
1089,7,6,"F",1,0,4.18,1240,"Arts & Letters",3.634
